"COORDONNÉES","","","ZONE DE CHARGE","","","","","","","","","BORNE DE CHARGE","","","","","","","","","","","","","","","POINT DE CHARGE","","","","","","","","","PRISE","","","","","","",""
"PROJECTION","X","Y","CODE","TYPE EQUIPEMENT","ALIAS","PÉRIMÈTRE","ENTREPRISE","COMMUNE","TYPE","NOM","COMMENTAIRE","TYPE EQUIPEMENT","MODELE IRVE","CODE","ALIAS","PÉRIMÈTRE","VERSION FIRMWARE","NUMÉRO ICCID SIM","DATE INSTALLATION","MARQUE","MODELE","DERNIERE INTERVENTION","DATE CREATION","EQUIPEMENT PRIORITAIRE","COMMENTAIRE","OPTIONS","CHARGEBOXID","PUISSANCE MAXIMALE (W)","CODE D'OPÉRATION","CODE DU POINT DE CHARGE","CODE","DATE INSTALLATION","DATE INTERVENTION","NOMBRE DE CONNECTEURS","COMMENTAIRE","CODE","CONNECTOR_ID","TYPE","ALIMENTATION","TYPE DE PRISE","INTENSITÉ MAX (A)","ID DU POINT DE CHARGE","COMMENTAIRE"
"WGS_84","-0.81","49.09","FR*SOD*S*SDEC*165*1*_*_","Zone de charge","CAUMONT L'EVENTE - Rue de la Ferière","Global","Citeos Caen","","","","14240","Borne de charge","","FR*SOD*S*SDEC*165*1*_*_","EZUM - CAUMONT L'EVENTE - Rue de la Ferière","Global","3.17g-p1-mb2","000096137574","6/19/2017","E-TOTEM","E TOTEM 22 KVA","6/18/2025","11/2/2021","Non","14143","Freshmile","ET293","22000","","","FR*SOD*S*SDEC*165*1*_*_-1","","","2","EZUM1","FR*SOD*S*SDEC*165*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.81","49.09","FR*SOD*S*SDEC*165*1*_*_","Zone de charge","CAUMONT L'EVENTE - Rue de la Ferière","Global","Citeos Caen","","","","14240","Borne de charge","","FR*SOD*S*SDEC*165*1*_*_","EZUM - CAUMONT L'EVENTE - Rue de la Ferière","Global","3.17g-p1-mb2","000096137574","6/19/2017","E-TOTEM","E TOTEM 22 KVA","6/18/2025","11/2/2021","Non","14143","Freshmile","ET293","22000","","","FR*SOD*S*SDEC*165*1*_*_-2","","","2","EZUM2","FR*SOD*S*SDEC*165*1*_*_-2-EF","2","EF","","","","2","T2, EF"
"WGS_84","-0.81","49.09","FR*SOD*S*SDEC*165*1*_*_","Zone de charge","CAUMONT L'EVENTE - Rue de la Ferière","Global","Citeos Caen","","","","14240","Borne de charge","","FR*SOD*S*SDEC*165*1*_*_","EZUM - CAUMONT L'EVENTE - Rue de la Ferière","Global","3.17g-p1-mb2","000096137574","6/19/2017","E-TOTEM","E TOTEM 22 KVA","6/18/2025","11/2/2021","Non","14143","Freshmile","ET293","22000","","","FR*SOD*S*SDEC*165*1*_*_-2","","","2","EZUM2","FR*SOD*S*SDEC*165*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.81","49.09","FR*SOD*S*SDEC*165*1*_*_","Zone de charge","CAUMONT L'EVENTE - Rue de la Ferière","Global","Citeos Caen","","","","14240","Borne de charge","","FR*SOD*S*SDEC*165*1*_*_","EZUM - CAUMONT L'EVENTE - Rue de la Ferière","Global","3.17g-p1-mb2","000096137574","6/19/2017","E-TOTEM","E TOTEM 22 KVA","6/18/2025","11/2/2021","Non","14143","Freshmile","ET293","22000","","","FR*SOD*S*SDEC*165*1*_*_-1","","","2","EZUM1","FR*SOD*S*SDEC*165*1*_*_-1-EF","1","EF","","","","1","T2, EF"
"WGS_84","-0.30","49.23","FR*SOD*S*SDEC*95*1*_*_","Zone de charge","BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","Citeos Caen","","","","14550","Borne de charge","","FR*SOD*S*SDEC*95*1*_*_","AKAD - BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","3.17g-p1-mb2","000084478823","4/20/2017","E-TOTEM","E TOTEM 22 KVA","7/9/2024","11/2/2021","Non","14076","Freshmile","ET223","22000","","","FR*SOD*S*SDEC*95*1*_*_-2","","","2","AKAD2","FR*SOD*S*SDEC*95*1*_*_-2-EF","2","EF","","","","2","T2, T3, EF"
"WGS_84","-0.30","49.23","FR*SOD*S*SDEC*95*1*_*_","Zone de charge","BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","Citeos Caen","","","","14550","Borne de charge","","FR*SOD*S*SDEC*95*1*_*_","AKAD - BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","3.17g-p1-mb2","000084478823","4/20/2017","E-TOTEM","E TOTEM 22 KVA","7/9/2024","11/2/2021","Non","14076","Freshmile","ET223","22000","","","FR*SOD*S*SDEC*95*1*_*_-2","","","2","AKAD2","FR*SOD*S*SDEC*95*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.30","49.23","FR*SOD*S*SDEC*95*1*_*_","Zone de charge","BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","Citeos Caen","","","","14550","Borne de charge","","FR*SOD*S*SDEC*95*1*_*_","AKAD - BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","3.17g-p1-mb2","000084478823","4/20/2017","E-TOTEM","E TOTEM 22 KVA","7/9/2024","11/2/2021","Non","14076","Freshmile","ET223","22000","","","FR*SOD*S*SDEC*95*1*_*_-1","","","2","AKAD1","FR*SOD*S*SDEC*95*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.30","49.23","FR*SOD*S*SDEC*95*1*_*_","Zone de charge","BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","Citeos Caen","","","","14550","Borne de charge","","FR*SOD*S*SDEC*95*1*_*_","AKAD - BLAINVILLE SUR ORNE - Rue du Général de Gaulle","Global","3.17g-p1-mb2","000084478823","4/20/2017","E-TOTEM","E TOTEM 22 KVA","7/9/2024","11/2/2021","Non","14076","Freshmile","ET223","22000","","","FR*SOD*S*SDEC*95*1*_*_-1","","","2","AKAD1","FR*SOD*S*SDEC*95*1*_*_-1-EF","1","EF","","","","1","T2, T3, EF"
"WGS_84","-0.36","49.14","FR*SOD*S*SDEC*183*1*_*_","Zone de charge","IFS - Rue des Pyrénées","Global","Citeos Caen","","","","14123","Borne de charge","","FR*SOD*S*SDEC*183*1*_*_","MPCW - IFS - Rue des Pyrénées","Global","3.18a-rc23-tcp","000089417286","2/2/2017","E-TOTEM","E TOTEM 22 KVA","9/22/2025","11/2/2021","Non","14341","Freshmile","ET219","22000","","","FR*SOD*S*SDEC*183*1*_*_-2","","","2","MPCW2","FR*SOD*S*SDEC*183*1*_*_-2-EF","2","EF","","","","2","T2, EF"
"WGS_84","-0.36","49.14","FR*SOD*S*SDEC*183*1*_*_","Zone de charge","IFS - Rue des Pyrénées","Global","Citeos Caen","","","","14123","Borne de charge","","FR*SOD*S*SDEC*183*1*_*_","MPCW - IFS - Rue des Pyrénées","Global","3.18a-rc23-tcp","000089417286","2/2/2017","E-TOTEM","E TOTEM 22 KVA","9/22/2025","11/2/2021","Non","14341","Freshmile","ET219","22000","","","FR*SOD*S*SDEC*183*1*_*_-2","","","2","MPCW2","FR*SOD*S*SDEC*183*1*_*_-2-T2","2","T2","","","","2","T2, EF"
